Model,Strategy,Method,Rank,Feature,Importance
Random Forest,Undersampling,Permutation,39,household_food_security_category,-9.701656850323314e-05
Random Forest,Undersampling,Permutation,40,phq9_score,-0.00012616861689635495
Random Forest,Undersampling,Permutation,41,sedentary_minutes_per_day,-0.00021638907639539572
Random Forest,Undersampling,Permutation,42,income_poverty_ratio,-0.00021658221626054132
Random Forest,Undersampling,Permutation,43,moderate_recreational_activity,-0.000277095350254225
Random Forest,Undersampling,Mean Decrease Impurity,1,age,0.15968763138167527
Random Forest,Undersampling,Mean Decrease Impurity,2,family_history_diabetes,0.08265871578802708
Random Forest,Undersampling,Mean Decrease Impurity,3,waist_circumference,0.08207718760025368
Random Forest,Undersampling,Mean Decrease Impurity,4,ever_told_hypertension,0.070193036460196
Random Forest,Undersampling,Mean Decrease Impurity,5,self_rated_health,0.06285882059650193
Random Forest,Undersampling,Mean Decrease Impurity,6,bmi,0.049034931848987495
Random Forest,Undersampling,Mean Decrease Impurity,7,total_cholesterol_mg_dl,0.04742008453238348
Random Forest,Undersampling,Mean Decrease Impurity,8,hdl_cholesterol_mg_dl,0.0388025644841459
Random Forest,Undersampling,Mean Decrease Impurity,9,mean_systolic_bp,0.03463268343967803
Random Forest,Undersampling,Mean Decrease Impurity,10,ever_told_high_cholesterol,0.0330454320122593
Random Forest,Undersampling,Mean Decrease Impurity,11,total_sugar_g,0.030396264949033355
Random Forest,Undersampling,Mean Decrease Impurity,12,healthcare_visits_past_12_months,0.02952377946936968
Random Forest,Undersampling,Mean Decrease Impurity,13,mean_diastolic_bp,0.02338072413129194
Random Forest,Undersampling,Mean Decrease Impurity,14,income_poverty_ratio,0.020557695040394754
Random Forest,Undersampling,Mean Decrease Impurity,15,carbohydrate_g,0.02047067421322387
Random Forest,Undersampling,Mean Decrease Impurity,16,physical_activity_moderate_equivalent_min_week,0.018026060153985033
Random Forest,Undersampling,Mean Decrease Impurity,17,fiber_g,0.017686502971672534
Random Forest,Undersampling,Mean Decrease Impurity,18,energy_kcal,0.017398967228546468
Random Forest,Undersampling,Mean Decrease Impurity,19,cholesterol_mg,0.01686753685477431
Random Forest,Undersampling,Mean Decrease Impurity,20,protein_g,0.01669976613531549
Random Forest,Undersampling,Mean Decrease Impurity,21,vigorous_recreational_activity,0.016109293465542712
Random Forest,Undersampling,Mean Decrease Impurity,22,total_fat_g,0.015810239089580725
Random Forest,Undersampling,Mean Decrease Impurity,23,education_level,0.014109177233171483
Random Forest,Undersampling,Mean Decrease Impurity,24,sedentary_minutes_per_day,0.01138856571792111
Random Forest,Undersampling,Mean Decrease Impurity,25,phq9_score,0.009818618139253337
Random Forest,Undersampling,Mean Decrease Impurity,26,race_ethnicity_3.0,0.009748128490467134
Random Forest,Undersampling,Mean Decrease Impurity,27,sleep_hours,0.009332985753008376
Random Forest,Undersampling,Mean Decrease Impurity,28,household_food_security_category,0.004648334801908799
Random Forest,Undersampling,Mean Decrease Impurity,29,adult_food_security_category,0.004543009240656323
Random Forest,Undersampling,Mean Decrease Impurity,30,usual_place_for_healthcare,0.004492426463689771
Random Forest,Undersampling,Mean Decrease Impurity,31,sex,0.003998501493991217
Random Forest,Undersampling,Mean Decrease Impurity,32,moderate_recreational_activity,0.0034830660060172275
Random Forest,Undersampling,Mean Decrease Impurity,33,trouble_sleeping_reported_to_doctor,0.0030175626514635234
Random Forest,Undersampling,Mean Decrease Impurity,34,moderate_work_activity,0.002774440202673207
Random Forest,Undersampling,Mean Decrease Impurity,35,race_ethnicity_4.0,0.002561905396258992
Random Forest,Undersampling,Mean Decrease Impurity,36,race_ethnicity_6.0,0.0024616659922434793
Random Forest,Undersampling,Mean Decrease Impurity,37,ever_smoked_100_cigarettes,0.0022631554685505484
Random Forest,Undersampling,Mean Decrease Impurity,38,walk_or_bicycle_transport,0.0019266357276266283
Random Forest,Undersampling,Mean Decrease Impurity,39,vigorous_work_activity,0.0017748461956849676
Random Forest,Undersampling,Mean Decrease Impurity,40,has_health_insurance,0.001440630346796491
Random Forest,Undersampling,Mean Decrease Impurity,41,ever_almost_daily_heavy_drinking,0.0013582274411773445
Random Forest,Undersampling,Mean Decrease Impurity,42,race_ethnicity_2.0,0.001114974910300515
Random Forest,Undersampling,Mean Decrease Impurity,43,insurance_gap_past_12_months,0.00040455048030053003
