Model A,Model B,Overlap Count,Jaccard Similarity,Shared Features,Rank Details
XGBoost,Decision Tree,9,0.818,"age, family_history_diabetes, self_rated_health, waist_circumference, hdl_cholesterol_mg_dl, total_cholesterol_mg_dl, total_sugar_g, race_ethnicity_3.0, ever_told_high_cholesterol","age (XGBoost: 1, Decision Tree: 1); family_history_diabetes (XGBoost: 2, Decision Tree: 2); self_rated_health (XGBoost: 4, Decision Tree: 3); waist_circumference (XGBoost: 3, Decision Tree: 5); hdl_cholesterol_mg_dl (XGBoost: 5, Decision Tree: 7); total_cholesterol_mg_dl (XGBoost: 7, Decision Tree: 6); total_sugar_g (XGBoost: 6, Decision Tree: 8); race_ethnicity_3.0 (XGBoost: 8, Decision Tree: 9); ever_told_high_cholesterol (XGBoost: 10, Decision Tree: 10)"
Logistic Regression,XGBoost,8,0.667,"age, family_history_diabetes, waist_circumference, self_rated_health, hdl_cholesterol_mg_dl, race_ethnicity_3.0, total_sugar_g, ever_told_high_cholesterol","age (Logistic Regression: 1, XGBoost: 1); family_history_diabetes (Logistic Regression: 2, XGBoost: 2); waist_circumference (Logistic Regression: 3, XGBoost: 3); self_rated_health (Logistic Regression: 4, XGBoost: 4); hdl_cholesterol_mg_dl (Logistic Regression: 8, XGBoost: 5); race_ethnicity_3.0 (Logistic Regression: 6, XGBoost: 8); total_sugar_g (Logistic Regression: 10, XGBoost: 6); ever_told_high_cholesterol (Logistic Regression: 7, XGBoost: 10)"
Logistic Regression,Decision Tree,8,0.667,"age, family_history_diabetes, self_rated_health, waist_circumference, race_ethnicity_3.0, hdl_cholesterol_mg_dl, ever_told_high_cholesterol, total_sugar_g","age (Logistic Regression: 1, Decision Tree: 1); family_history_diabetes (Logistic Regression: 2, Decision Tree: 2); self_rated_health (Logistic Regression: 4, Decision Tree: 3); waist_circumference (Logistic Regression: 3, Decision Tree: 5); race_ethnicity_3.0 (Logistic Regression: 6, Decision Tree: 9); hdl_cholesterol_mg_dl (Logistic Regression: 8, Decision Tree: 7); ever_told_high_cholesterol (Logistic Regression: 7, Decision Tree: 10); total_sugar_g (Logistic Regression: 10, Decision Tree: 8)"
Random Forest,Decision Tree,8,0.667,"age, family_history_diabetes, self_rated_health, waist_circumference, bmi, hdl_cholesterol_mg_dl, total_cholesterol_mg_dl, ever_told_high_cholesterol","age (Random Forest: 1, Decision Tree: 1); family_history_diabetes (Random Forest: 2, Decision Tree: 2); self_rated_health (Random Forest: 5, Decision Tree: 3); waist_circumference (Random Forest: 4, Decision Tree: 5); bmi (Random Forest: 7, Decision Tree: 4); hdl_cholesterol_mg_dl (Random Forest: 8, Decision Tree: 7); total_cholesterol_mg_dl (Random Forest: 9, Decision Tree: 6); ever_told_high_cholesterol (Random Forest: 6, Decision Tree: 10)"
Random Forest,XGBoost,7,0.538,"age, family_history_diabetes, waist_circumference, self_rated_health, hdl_cholesterol_mg_dl, ever_told_high_cholesterol, total_cholesterol_mg_dl","age (Random Forest: 1, XGBoost: 1); family_history_diabetes (Random Forest: 2, XGBoost: 2); waist_circumference (Random Forest: 4, XGBoost: 3); self_rated_health (Random Forest: 5, XGBoost: 4); hdl_cholesterol_mg_dl (Random Forest: 8, XGBoost: 5); ever_told_high_cholesterol (Random Forest: 6, XGBoost: 10); total_cholesterol_mg_dl (Random Forest: 9, XGBoost: 7)"
Logistic Regression,Random Forest,6,0.429,"age, family_history_diabetes, waist_circumference, self_rated_health, ever_told_high_cholesterol, hdl_cholesterol_mg_dl","age (Logistic Regression: 1, Random Forest: 1); family_history_diabetes (Logistic Regression: 2, Random Forest: 2); waist_circumference (Logistic Regression: 3, Random Forest: 4); self_rated_health (Logistic Regression: 4, Random Forest: 5); ever_told_high_cholesterol (Logistic Regression: 7, Random Forest: 6); hdl_cholesterol_mg_dl (Logistic Regression: 8, Random Forest: 8)"
