Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,Undersampling,Permutation,33,education_level_3.0,-0.0001176546406059853
Logistic Regression,Undersampling,Permutation,34,carbohydrate_g,-0.0001293609696025988
Logistic Regression,Undersampling,Permutation,35,ever_smoked_100_cigarettes,-0.00014531536850311832
Logistic Regression,Undersampling,Permutation,36,education_level_2.0,-0.0002542687068343652
Logistic Regression,Undersampling,Coefficient,1,age,0.8722011343215309
Logistic Regression,Undersampling,Coefficient,2,race_ethnicity_3.0,0.7359420927592181
Logistic Regression,Undersampling,Coefficient,3,waist_circumference,0.5204871077649614
Logistic Regression,Undersampling,Coefficient,4,vigorous_recreational_activity,0.39811897765638377
Logistic Regression,Undersampling,Coefficient,5,race_ethnicity_6.0,0.31975130979531546
Logistic Regression,Undersampling,Coefficient,6,energy_kcal,0.2931685410271608
Logistic Regression,Undersampling,Coefficient,7,education_level_5.0,0.27448971464180383
Logistic Regression,Undersampling,Coefficient,8,hdl_cholesterol_mg_dl,0.26041786655912197
Logistic Regression,Undersampling,Coefficient,9,triglycerides_mg_dl,0.25179600723320406
Logistic Regression,Undersampling,Coefficient,10,total_fat_g,0.23228861246865803
Logistic Regression,Undersampling,Coefficient,11,total_sugar_g,0.21615331784824848
Logistic Regression,Undersampling,Coefficient,12,fiber_g,0.184556373469752
Logistic Regression,Undersampling,Coefficient,13,bmi,0.16263166838307247
Logistic Regression,Undersampling,Coefficient,14,mean_systolic_bp,0.1591670764528242
Logistic Regression,Undersampling,Coefficient,15,education_level_4.0,0.13503723452917044
Logistic Regression,Undersampling,Coefficient,16,education_level_3.0,0.13162672862906957
Logistic Regression,Undersampling,Coefficient,17,total_cholesterol_mg_dl,0.11052824854804998
Logistic Regression,Undersampling,Coefficient,18,ldl_cholesterol_mg_dl,0.1081049375877031
Logistic Regression,Undersampling,Coefficient,19,race_ethnicity_7.0,0.10078819218903573
Logistic Regression,Undersampling,Coefficient,20,income_poverty_ratio,0.08919111163232582
Logistic Regression,Undersampling,Coefficient,21,walk_or_bicycle_transport,0.0887889943662294
Logistic Regression,Undersampling,Coefficient,22,race_ethnicity_4.0,0.06924182189735976
Logistic Regression,Undersampling,Coefficient,23,cholesterol_mg,0.06669647804062928
Logistic Regression,Undersampling,Coefficient,24,ever_smoked_100_cigarettes,0.06564584768639933
Logistic Regression,Undersampling,Coefficient,25,mean_diastolic_bp,0.06516694781967929
Logistic Regression,Undersampling,Coefficient,26,education_level_2.0,0.05984965836406494
Logistic Regression,Undersampling,Coefficient,27,sex_2.0,0.053567172567158865
Logistic Regression,Undersampling,Coefficient,28,moderate_recreational_activity,0.04926758516436058
Logistic Regression,Undersampling,Coefficient,29,race_ethnicity_2.0,0.04498554456185209
Logistic Regression,Undersampling,Coefficient,30,average_alcoholic_drinks_per_day,0.036370669048786636
Logistic Regression,Undersampling,Coefficient,31,moderate_work_activity,0.030489405921001866
Logistic Regression,Undersampling,Coefficient,32,alcohol_info_missing,0.028867861909831528
Logistic Regression,Undersampling,Coefficient,33,protein_g,0.021007400508202684
Logistic Regression,Undersampling,Coefficient,34,sleep_hours,0.015227298111032048
Logistic Regression,Undersampling,Coefficient,35,carbohydrate_g,0.012332156709324457
Logistic Regression,Undersampling,Coefficient,36,vigorous_work_activity,0.009072473452155467
