Model,Strategy,Method,Rank,Feature,Importance
Decision Tree,SMOTE,Gini Importance,5,income_poverty_ratio,0.03868813212498835
Decision Tree,SMOTE,Gini Importance,6,vigorous_work_activity,0.014934747408104463
Decision Tree,SMOTE,Gini Importance,7,hdl_cholesterol_mg_dl,0.004673349880682822
Decision Tree,SMOTE,Gini Importance,8,average_alcoholic_drinks_per_day,0.004134163507817634
Decision Tree,SMOTE,Gini Importance,9,total_sugar_g,0.0037587869965871987
Decision Tree,SMOTE,Gini Importance,10,carbohydrate_g,0.0029174159467597015
Decision Tree,SMOTE,Gini Importance,11,moderate_work_activity,0.002837001582033773
Decision Tree,SMOTE,Gini Importance,12,bmi,0.0022025467652058684
Decision Tree,SMOTE,Gini Importance,13,fiber_g,0.0019303276186364634
Decision Tree,SMOTE,Gini Importance,14,ever_smoked_100_cigarettes,0.00080016075192035
Decision Tree,SMOTE,Gini Importance,15,race_ethnicity_3.0,0.0
Decision Tree,SMOTE,Gini Importance,16,race_ethnicity_2.0,0.0
Decision Tree,SMOTE,Gini Importance,17,race_ethnicity_7.0,0.0
Decision Tree,SMOTE,Gini Importance,18,race_ethnicity_4.0,0.0
Decision Tree,SMOTE,Gini Importance,19,race_ethnicity_6.0,0.0
Decision Tree,SMOTE,Gini Importance,20,alcohol_info_missing,0.0
Decision Tree,SMOTE,Gini Importance,21,education_level_2.0,0.0
Decision Tree,SMOTE,Gini Importance,22,education_level_3.0,0.0
Decision Tree,SMOTE,Gini Importance,23,education_level_4.0,0.0
Decision Tree,SMOTE,Gini Importance,24,sex_2.0,0.0
Decision Tree,SMOTE,Gini Importance,25,energy_kcal,0.0
Decision Tree,SMOTE,Gini Importance,26,cholesterol_mg,0.0
Decision Tree,SMOTE,Gini Importance,27,total_fat_g,0.0
Decision Tree,SMOTE,Gini Importance,28,protein_g,0.0
Decision Tree,SMOTE,Gini Importance,29,ldl_cholesterol_mg_dl,0.0
Decision Tree,SMOTE,Gini Importance,30,triglycerides_mg_dl,0.0
Decision Tree,SMOTE,Gini Importance,31,sleep_hours,0.0
Decision Tree,SMOTE,Gini Importance,32,moderate_recreational_activity,0.0
Decision Tree,SMOTE,Gini Importance,33,walk_or_bicycle_transport,0.0
Decision Tree,SMOTE,Gini Importance,34,mean_diastolic_bp,0.0
Decision Tree,SMOTE,Gini Importance,35,mean_systolic_bp,0.0
Decision Tree,SMOTE,Gini Importance,36,education_level_5.0,0.0
