Model,Strategy,Method,Rank,Feature,Importance
Random Forest,Undersampling,Permutation,36,education_level_2.0,-0.00015732340700994608
Random Forest,Undersampling,Mean Decrease Impurity,1,age,0.17762192914621985
Random Forest,Undersampling,Mean Decrease Impurity,2,waist_circumference,0.10154700946655755
Random Forest,Undersampling,Mean Decrease Impurity,3,bmi,0.06916175740048826
Random Forest,Undersampling,Mean Decrease Impurity,4,mean_systolic_bp,0.05913387971710172
Random Forest,Undersampling,Mean Decrease Impurity,5,total_cholesterol_mg_dl,0.05773644823940933
Random Forest,Undersampling,Mean Decrease Impurity,6,hdl_cholesterol_mg_dl,0.05048894309207807
Random Forest,Undersampling,Mean Decrease Impurity,7,total_sugar_g,0.04125881795139132
Random Forest,Undersampling,Mean Decrease Impurity,8,mean_diastolic_bp,0.0346950274335894
Random Forest,Undersampling,Mean Decrease Impurity,9,income_poverty_ratio,0.03297335796634548
Random Forest,Undersampling,Mean Decrease Impurity,10,triglycerides_mg_dl,0.03201346650413016
Random Forest,Undersampling,Mean Decrease Impurity,11,carbohydrate_g,0.031835137635662675
Random Forest,Undersampling,Mean Decrease Impurity,12,fiber_g,0.030713961899999757
Random Forest,Undersampling,Mean Decrease Impurity,13,energy_kcal,0.028900203220897307
Random Forest,Undersampling,Mean Decrease Impurity,14,protein_g,0.028573072080966388
Random Forest,Undersampling,Mean Decrease Impurity,15,cholesterol_mg,0.02829826089736295
Random Forest,Undersampling,Mean Decrease Impurity,16,ldl_cholesterol_mg_dl,0.028256141766177512
Random Forest,Undersampling,Mean Decrease Impurity,17,total_fat_g,0.02815259115968456
Random Forest,Undersampling,Mean Decrease Impurity,18,vigorous_recreational_activity,0.02242682819643111
Random Forest,Undersampling,Mean Decrease Impurity,19,sleep_hours,0.02137566844251984
Random Forest,Undersampling,Mean Decrease Impurity,20,average_alcoholic_drinks_per_day,0.017282907614262412
Random Forest,Undersampling,Mean Decrease Impurity,21,race_ethnicity_3.0,0.015047587932085462
Random Forest,Undersampling,Mean Decrease Impurity,22,alcohol_info_missing,0.006210440703339324
Random Forest,Undersampling,Mean Decrease Impurity,23,moderate_recreational_activity,0.005948995173532241
Random Forest,Undersampling,Mean Decrease Impurity,24,sex_2.0,0.004993168711564267
Random Forest,Undersampling,Mean Decrease Impurity,25,education_level_5.0,0.0048788607187443414
Random Forest,Undersampling,Mean Decrease Impurity,26,moderate_work_activity,0.0048247856416015
Random Forest,Undersampling,Mean Decrease Impurity,27,race_ethnicity_4.0,0.004418528938348322
Random Forest,Undersampling,Mean Decrease Impurity,28,education_level_4.0,0.004264487088971091
Random Forest,Undersampling,Mean Decrease Impurity,29,ever_smoked_100_cigarettes,0.004255472797212133
Random Forest,Undersampling,Mean Decrease Impurity,30,walk_or_bicycle_transport,0.004193798728262578
Random Forest,Undersampling,Mean Decrease Impurity,31,vigorous_work_activity,0.004189784650122833
Random Forest,Undersampling,Mean Decrease Impurity,32,education_level_3.0,0.0039007251972682875
Random Forest,Undersampling,Mean Decrease Impurity,33,education_level_2.0,0.003632030455232396
Random Forest,Undersampling,Mean Decrease Impurity,34,race_ethnicity_6.0,0.003356905566619124
Random Forest,Undersampling,Mean Decrease Impurity,35,race_ethnicity_2.0,0.0024995913398997657
Random Forest,Undersampling,Mean Decrease Impurity,36,race_ethnicity_7.0,0.0009394265259207783
