Model,Strategy,Method,Rank,Feature,Importance
XGBoost,SMOTE,XGBoost Gain,1,vigorous_recreational_activity,0.10429102927446365
XGBoost,SMOTE,XGBoost Gain,2,age,0.09658452123403549
XGBoost,SMOTE,XGBoost Gain,3,moderate_recreational_activity,0.09210804104804993
XGBoost,SMOTE,XGBoost Gain,4,walk_or_bicycle_transport,0.07821368426084518
XGBoost,SMOTE,XGBoost Gain,5,ever_smoked_100_cigarettes,0.07515813410282135
XGBoost,SMOTE,XGBoost Gain,6,moderate_work_activity,0.07259481400251389
XGBoost,SMOTE,XGBoost Gain,7,average_alcoholic_drinks_per_day,0.03875032067298889
XGBoost,SMOTE,XGBoost Gain,8,vigorous_work_activity,0.037288423627614975
XGBoost,SMOTE,XGBoost Gain,9,waist_circumference,0.03506733104586601
XGBoost,SMOTE,XGBoost Gain,10,alcohol_info_missing,0.03426758944988251
XGBoost,SMOTE,XGBoost Gain,11,hdl_cholesterol_mg_dl,0.021374352276325226
XGBoost,SMOTE,XGBoost Gain,12,sleep_hours,0.020715724676847458
XGBoost,SMOTE,XGBoost Gain,13,race_ethnicity_4.0,0.020511947572231293
XGBoost,SMOTE,XGBoost Gain,14,total_cholesterol_mg_dl,0.01911793276667595
XGBoost,SMOTE,XGBoost Gain,15,race_ethnicity_3.0,0.019033437594771385
XGBoost,SMOTE,XGBoost Gain,16,race_ethnicity_6.0,0.018292592838406563
XGBoost,SMOTE,XGBoost Gain,17,bmi,0.01746397092938423
XGBoost,SMOTE,XGBoost Gain,18,education_level_3.0,0.01731627993285656
XGBoost,SMOTE,XGBoost Gain,19,income_poverty_ratio,0.01585197076201439
XGBoost,SMOTE,XGBoost Gain,20,education_level_4.0,0.015583876520395279
XGBoost,SMOTE,XGBoost Gain,21,triglycerides_mg_dl,0.014927617274224758
XGBoost,SMOTE,XGBoost Gain,22,race_ethnicity_2.0,0.014845168218016624
XGBoost,SMOTE,XGBoost Gain,23,education_level_5.0,0.014635036699473858
XGBoost,SMOTE,XGBoost Gain,24,total_sugar_g,0.01384940929710865
XGBoost,SMOTE,XGBoost Gain,25,education_level_2.0,0.013707817532122135
XGBoost,SMOTE,XGBoost Gain,26,sex_2.0,0.01345272921025753
